1724352702.0492485 9a1bd6 -2.831195447278221
1724352704.4044712 e6253a -2.7273172180058065
1724352705.7689376 b54ead -2.8541643140213675
1724352706.1497593 984343 -2.9110978291972778
1724352707.1875904 6fda8a -2.842210533176166
1724352708.8188927 e9cfbc -2.809721699125135
1724352709.008431 af6255 -2.7780053246069323
1724352710.0359442 460195 -2.806607342667264
1724352714.244762 125043 -2.8595569670083205
1724352714.734037 5469a4 -2.784912761489279
1724352715.8809087 d0de77 -2.8843542800649855
1724352721.8613818 f70eb3 -2.8663029877706707
1724352723.0359128 8c599f -2.882654277592679
1724352725.4160392 df9de2 -2.7792642135095296
1724352726.5609412 f4a6c0 -2.91800822353409
1724352727.6246433 3f5526 -2.854103762834189
1724352727.7884438 560bad -2.7919660663743713
1724352730.9718702 8ad7dc -2.867100468595173
1724352734.5479388 4bf316 -2.841447345049413
1724352740.405616 134a39 -2.9119217948357004
1724352740.6905813 57ee3a -2.847655262816208
1724352742.5947633 fdc521 -2.8292526573376326
1724352746.164651 4d706e -2.903544221604352
1724352747.8618023 a87e2f -2.8478256494447898
1724352748.37905 972ccb -2.7961518316423812
1724352749.44803 61dca3 -2.7643748601692564
1724352752.8208709 ac10c9 -2.842870797430689
1724352756.4542663 04227c -2.850717396994063
1724352756.7016518 e15e91 -2.8214505969548984
1724352756.9256809 c8fb2e -2.6001448397912017
1724352757.3348207 f4f355 -2.750397475269691
1724352757.5107405 fe9845 -2.677167940782618
1724352758.060477 05ead8 -2.7797782392978707
1724352759.4354527 6b7246 -2.8644070471893186
1724352760.7556143 7d2b5b -2.8175392064620977
1724352760.9226723 353b89 -2.8233813374477283
1724352763.915878 0ee346 -2.728006912715237
1724352764.2360299 879cac -2.9095548071972335
1724352765.6103992 dc5691 -2.9074626157363523
1724352766.3182254 3c1f69 -2.836897480050532
1724352776.1399174 d539d6 -2.827993533338637
1724352783.777817 6445fa -2.8609410889307947
